endpoint,scope,candidate,branch_half,matrix_id,target_loosen_minus_tighten,neutral_minus_noop,balanced_log_minus_noop
JOINT_BREAK_RUN3_F12,landmark60_compatibility,02,B,59,0.125,0.0625,-0.125
JOINT_BREAK_RUN3_F12,landmark60_compatibility,02,B,60,0.125,0.4375,0.0
JOINT_BREAK_RUN3_F12,landmark60_compatibility,02,B,61,0.25,-0.125,-0.1875
JOINT_BREAK_RUN3_F12,landmark60_compatibility,02,B,62,0.0625,0.3125,0.125
JOINT_BREAK_RUN3_F12,landmark60_compatibility,02,B,63,-0.0625,-0.375,0.125
JOINT_BREAK_RUN3_F12,landmark60_compatibility,02,B,64,0.4375,0.1875,0.5625
JOINT_BREAK_RUN3_F12,landmark60_compatibility,02,B,65,0.0625,0.25,0.25
JOINT_BREAK_RUN3_F12,landmark60_compatibility,02,B,66,0.0,0.0,0.0
JOINT_BREAK_RUN3_F12,landmark60_compatibility,02,B,67,0.0,0.0,0.0
JOINT_BREAK_RUN3_F12,landmark60_compatibility,02,B,68,0.1875,0.25,0.0
JOINT_BREAK_RUN3_F12,landmark60_compatibility,02,B,69,0.125,0.0,0.3125
JOINT_BREAK_RUN3_F12,landmark60_compatibility,02,B,70,0.375,0.125,-0.0625
JOINT_BREAK_RUN3_F12,landmark60_compatibility,02,B,71,0.0,0.0,0.25
JOINT_BREAK_RUN3_F12,landmark60_compatibility,02,B,72,-0.0625,-0.125,0.25
JOINT_BREAK_RUN3_F12,landmark60_compatibility,02,B,73,0.125,-0.0625,0.0625
JOINT_BREAK_RUN3_F12,landmark60_compatibility,02,B,74,0.0625,-0.1875,0.0
JOINT_BREAK_RUN3_F12,landmark60_compatibility,02,B,75,-0.0625,-0.125,-0.125
JOINT_BREAK_RUN3_F12,landmark60_compatibility,02,B,76,0.625,-0.0625,-0.125
JOINT_BREAK_RUN3_F12,landmark60_compatibility,02,B,77,0.625,0.0625,-0.3125
JOINT_BREAK_RUN3_F12,landmark60_compatibility,02,B,78,0.25,0.0625,-0.125
JOINT_BREAK_RUN3_F12,landmark60_compatibility,02,B,79,0.0,0.0625,0.0
JOINT_BREAK_RUN3_F12,landmark60_compatibility,02,B,80,0.1875,-0.0625,0.125
JOINT_BREAK_RUN3_F12,landmark60_compatibility,02,B,81,0.25,0.125,0.4375
JOINT_BREAK_RUN3_F12,landmark60_compatibility,02,B,82,0.0,-0.125,0.0
JOINT_BREAK_RUN3_F12,landmark60_compatibility,02,B,83,-0.0625,-0.0625,-0.0625
JOINT_BREAK_RUN3_F12,landmark60_compatibility,02,B,84,0.0,0.0,0.0
JOINT_BREAK_RUN3_F12,landmark60_compatibility,02,B,85,0.0625,0.0,-0.0625
JOINT_BREAK_RUN3_F12,landmark60_compatibility,02,B,86,0.0,0.0625,0.0
JOINT_BREAK_RUN3_F12,landmark60_compatibility,02,B,87,0.125,0.375,0.125
JOINT_BREAK_RUN3_F12,landmark60_compatibility,02,B,88,0.375,-0.25,-0.1875
JOINT_BREAK_RUN3_F12,landmark60_compatibility,02,B,89,0.0,0.1875,0.0
JOINT_BREAK_RUN3_F12,landmark60_compatibility,02,B,90,0.5625,0.1875,0.125
JOINT_BREAK_RUN3_F12,landmark60_compatibility,02,B,91,-0.1875,0.0,0.0625
JOINT_BREAK_RUN3_F12,landmark60_compatibility,02,B,92,0.1875,0.0,0.0
JOINT_BREAK_RUN3_F12,landmark60_compatibility,02,B,93,0.25,0.125,-0.1875
JOINT_BREAK_RUN3_F12,landmark60_compatibility,02,B,94,0.125,-0.0625,-0.4375
JOINT_BREAK_RUN3_F12,landmark60_compatibility,02,B,95,0.125,0.0,-0.1875
JOINT_BREAK_RUN3_F12,landmark60_compatibility,02,B,96,0.125,-0.3125,-0.125
JOINT_BREAK_RUN3_F12,landmark60_compatibility,02,B,97,0.0,0.0,0.25
JOINT_BREAK_RUN3_F12,landmark60_compatibility,02,B,98,0.125,-0.125,0.0
JOINT_BREAK_RUN3_F12,landmark60_compatibility,02,B,99,0.0625,0.1875,0.0
JOINT_BREAK_RUN3_F12,landmark60_compatibility,02,B,100,0.125,0.0,-0.0625
JOINT_BREAK_RUN3_F12,landmark60_compatibility,02,B,101,0.125,-0.125,-0.3125
JOINT_BREAK_RUN3_F12,landmark60_compatibility,02,B,102,-0.0625,0.0625,-0.125
JOINT_BREAK_RUN3_F12,landmark60_compatibility,02,B,103,0.0,0.0,0.0
JOINT_BREAK_RUN3_F12,landmark60_compatibility,02,B,104,0.3125,0.25,0.25
JOINT_BREAK_RUN3_F12,landmark60_compatibility,02,B,105,0.0,0.125,0.0625
JOINT_BREAK_RUN3_F12,landmark60_compatibility,02,B,106,0.0625,-0.125,0.1875
JOINT_BREAK_RUN3_F12,landmark60_compatibility,02,B,107,0.25,0.125,-0.0625
JOINT_BREAK_RUN3_F12,landmark60_compatibility,02,B,108,0.25,-0.4375,-0.3125
JOINT_BREAK_RUN3_F12,landmark60_compatibility,02,B,109,0.0,-0.125,0.0625
JOINT_BREAK_RUN3_F12,landmark60_compatibility,02,B,110,0.125,0.125,-0.125
JOINT_BREAK_RUN3_F12,landmark60_compatibility,02,B,111,0.25,-0.0625,0.0625
JOINT_BREAK_RUN3_F12,landmark60_compatibility,02,B,112,0.25,0.125,0.0
JOINT_BREAK_RUN3_F12,landmark60_compatibility,02,B,113,0.125,0.1875,0.125
JOINT_BREAK_RUN3_F12,landmark60_compatibility,02,B,114,0.125,0.0,0.125
JOINT_BREAK_RUN3_F12,landmark60_compatibility,02,B,115,0.0625,0.0625,-0.625
JOINT_BREAK_RUN3_F12,landmark60_compatibility,02,B,116,0.0,0.0,0.0
JOINT_BREAK_RUN3_F12,landmark60_compatibility,02,B,117,0.25,-0.4375,-0.125
JOINT_BREAK_RUN3_F12,landmark60_compatibility,02,B,118,0.0625,0.125,0.25
JOINT_BREAK_RUN3_F12,landmark60_compatibility,02,B,119,0.0625,0.125,0.0
JOINT_BREAK_RUN3_F12,landmark60_compatibility,02,B,120,0.1875,0.125,-0.0625
JOINT_BREAK_RUN3_F12,landmark60_compatibility,02,B,121,0.125,0.1875,0.0
JOINT_BREAK_RUN3_F12,landmark60_compatibility,02,B,122,0.1875,-0.0625,0.125
JOINT_BREAK_RUN3_F12,landmark60_compatibility,02,B,123,0.375,-0.0625,-0.0625
JOINT_BREAK_RUN3_F12,landmark60_compatibility,02,B,124,0.375,0.125,0.0
JOINT_BREAK_RUN3_F12,landmark60_compatibility,02,B,125,0.0,0.0,0.0
JOINT_BREAK_RUN3_F12,landmark60_compatibility,02,B,126,0.1875,0.375,-0.1875
JOINT_BREAK_RUN3_F12,landmark60_compatibility,02,B,127,0.25,-0.0625,-0.1875
JOINT_BREAK_RUN3_F12,landmark60_compatibility,02,B,128,0.0,-0.1875,0.0625
JOINT_BREAK_RUN3_F12,landmark60_compatibility,02,B,129,0.0625,0.0,0.0
JOINT_BREAK_RUN3_F12,landmark60_compatibility,02,B,130,-0.0625,0.1875,-0.25
JOINT_BREAK_RUN3_F12,landmark60_compatibility,02,B,131,0.0,0.3125,0.0
JOINT_BREAK_RUN3_F12,landmark60_compatibility,02,B,132,0.0625,0.0625,0.3125
JOINT_BREAK_RUN3_F12,landmark60_compatibility,02,B,133,0.5,0.125,-0.125
JOINT_BREAK_RUN3_F12,landmark60_compatibility,02,B,134,0.25,0.0,0.0
JOINT_BREAK_RUN3_F12,landmark60_compatibility,02,B,135,0.125,0.625,0.3125
JOINT_BREAK_RUN3_F12,landmark60_compatibility,02,B,136,-0.1875,0.0,0.0625
JOINT_BREAK_RUN3_F12,landmark60_compatibility,02,B,137,0.0,-0.125,-0.0625
JOINT_BREAK_RUN3_F12,landmark60_compatibility,02,B,138,0.125,0.0625,0.1875
JOINT_BREAK_RUN3_F12,landmark60_compatibility,02,B,139,0.125,-0.125,-0.375
JOINT_BREAK_RUN3_F12,landmark60_compatibility,02,B,140,0.0625,-0.125,-0.125
JOINT_BREAK_RUN3_F12,landmark60_compatibility,02,B,141,0.125,0.0625,0.125
JOINT_BREAK_RUN3_F12,landmark60_compatibility,02,B,142,-0.0625,0.1875,0.125
JOINT_BREAK_RUN3_F12,landmark60_compatibility,02,B,143,0.3125,0.375,-0.1875
JOINT_BREAK_RUN3_F12,landmark60_compatibility,02,B,144,0.4375,0.375,0.125
JOINT_BREAK_RUN3_F12,landmark60_compatibility,02,B,145,0.0625,-0.0625,0.0
JOINT_BREAK_RUN3_F12,landmark60_compatibility,02,B,146,0.5,0.0625,-0.0625
JOINT_BREAK_RUN3_F12,landmark60_compatibility,02,B,147,0.5625,0.125,0.375
JOINT_BREAK_RUN3_F12,landmark60_compatibility,02,B,148,0.0,0.0,0.0625
JOINT_BREAK_RUN3_F12,landmark60_compatibility,02,B,149,0.5625,0.3125,-0.0625
JOINT_BREAK_RUN3_F12,landmark60_compatibility,02,B,150,0.125,-0.0625,0.0625
JOINT_BREAK_RUN3_F12,landmark60_compatibility,02,B,151,0.0,0.0,0.0
JOINT_BREAK_RUN3_F12,landmark60_compatibility,02,B,152,0.0,0.0625,0.0
JOINT_BREAK_RUN3_F12,landmark60_compatibility,02,B,153,0.0,0.0,0.0
JOINT_BREAK_RUN3_F12,landmark60_compatibility,02,B,154,0.0,-0.0625,-0.25
JOINT_BREAK_RUN3_F12,landmark60_compatibility,02,B,155,0.125,0.125,0.0625
JOINT_BREAK_RUN3_F12,landmark60_compatibility,02,B,156,0.0,-0.0625,-0.0625
JOINT_BREAK_RUN3_F12,landmark60_compatibility,02,B,157,0.25,0.0,0.125
JOINT_BREAK_RUN3_F12,landmark60_compatibility,02,B,158,0.125,0.125,0.0
JOINT_BREAK_RUN3_F12,landmark60_compatibility,02,B,159,0.0625,-0.0625,0.0625
JOINT_BREAK_RUN3_F12,landmark60_compatibility,03,A,0,0.0,0.125,0.0625
JOINT_BREAK_RUN3_F12,landmark60_compatibility,03,A,1,0.1875,0.0,0.1875
JOINT_BREAK_RUN3_F12,landmark60_compatibility,03,A,2,0.125,0.125,-0.0625
JOINT_BREAK_RUN3_F12,landmark60_compatibility,03,A,3,-0.25,0.0625,0.25
JOINT_BREAK_RUN3_F12,landmark60_compatibility,03,A,4,0.25,0.0625,0.1875
JOINT_BREAK_RUN3_F12,landmark60_compatibility,03,A,5,0.0,0.0,0.0
JOINT_BREAK_RUN3_F12,landmark60_compatibility,03,A,6,0.0,0.0625,0.0625
JOINT_BREAK_RUN3_F12,landmark60_compatibility,03,A,7,0.0,-0.125,-0.125
JOINT_BREAK_RUN3_F12,landmark60_compatibility,03,A,8,0.0,0.0,0.0
JOINT_BREAK_RUN3_F12,landmark60_compatibility,03,A,9,0.0,-0.0625,0.0
JOINT_BREAK_RUN3_F12,landmark60_compatibility,03,A,10,0.0,0.0,0.0
JOINT_BREAK_RUN3_F12,landmark60_compatibility,03,A,11,0.5,-0.25,-0.25
JOINT_BREAK_RUN3_F12,landmark60_compatibility,03,A,12,0.25,0.25,-0.0625
JOINT_BREAK_RUN3_F12,landmark60_compatibility,03,A,13,0.3125,0.1875,0.0625
JOINT_BREAK_RUN3_F12,landmark60_compatibility,03,A,14,0.125,-0.375,0.0
JOINT_BREAK_RUN3_F12,landmark60_compatibility,03,A,15,0.0,0.0,0.0
JOINT_BREAK_RUN3_F12,landmark60_compatibility,03,A,16,-0.1875,-0.0625,-0.125
JOINT_BREAK_RUN3_F12,landmark60_compatibility,03,A,17,0.25,-0.25,-0.125
JOINT_BREAK_RUN3_F12,landmark60_compatibility,03,A,18,0.0625,0.375,0.25
JOINT_BREAK_RUN3_F12,landmark60_compatibility,03,A,19,0.125,0.0625,-0.0625
JOINT_BREAK_RUN3_F12,landmark60_compatibility,03,A,20,0.125,0.1875,0.0
JOINT_BREAK_RUN3_F12,landmark60_compatibility,03,A,21,0.0,-0.25,-0.1875
JOINT_BREAK_RUN3_F12,landmark60_compatibility,03,A,22,0.0625,0.0,0.1875
JOINT_BREAK_RUN3_F12,landmark60_compatibility,03,A,23,0.0,-0.0625,0.125
JOINT_BREAK_RUN3_F12,landmark60_compatibility,03,A,24,0.0,0.0,0.0
JOINT_BREAK_RUN3_F12,landmark60_compatibility,03,A,25,0.0625,0.0,0.0625
JOINT_BREAK_RUN3_F12,landmark60_compatibility,03,A,26,0.0,0.0,0.0
JOINT_BREAK_RUN3_F12,landmark60_compatibility,03,A,27,-0.3125,0.0625,0.0625
JOINT_BREAK_RUN3_F12,landmark60_compatibility,03,A,28,0.3125,0.125,-0.125
JOINT_BREAK_RUN3_F12,landmark60_compatibility,03,A,29,-0.0625,-0.1875,-0.125
JOINT_BREAK_RUN3_F12,landmark60_compatibility,03,A,30,0.5,0.0625,0.1875
JOINT_BREAK_RUN3_F12,landmark60_compatibility,03,A,31,0.0625,0.0,0.0
JOINT_BREAK_RUN3_F12,landmark60_compatibility,03,A,32,0.375,0.0,-0.125
JOINT_BREAK_RUN3_F12,landmark60_compatibility,03,A,33,0.0625,0.125,0.25
JOINT_BREAK_RUN3_F12,landmark60_compatibility,03,A,34,-0.125,0.125,-0.0625
JOINT_BREAK_RUN3_F12,landmark60_compatibility,03,A,35,0.0625,-0.1875,0.1875
JOINT_BREAK_RUN3_F12,landmark60_compatibility,03,A,36,-0.1875,0.1875,-0.0625
JOINT_BREAK_RUN3_F12,landmark60_compatibility,03,A,37,0.25,0.3125,0.125
JOINT_BREAK_RUN3_F12,landmark60_compatibility,03,A,38,0.125,-0.0625,-0.0625
JOINT_BREAK_RUN3_F12,landmark60_compatibility,03,A,39,0.0625,0.0625,0.25
JOINT_BREAK_RUN3_F12,landmark60_compatibility,03,A,40,0.0,-0.125,0.0625
JOINT_BREAK_RUN3_F12,landmark60_compatibility,03,A,41,0.0625,0.125,-0.0625
JOINT_BREAK_RUN3_F12,landmark60_compatibility,03,A,42,0.25,0.0625,0.0
JOINT_BREAK_RUN3_F12,landmark60_compatibility,03,A,43,0.0,0.0625,0.0625
JOINT_BREAK_RUN3_F12,landmark60_compatibility,03,A,44,0.1875,0.0,-0.25
JOINT_BREAK_RUN3_F12,landmark60_compatibility,03,A,45,0.0,0.1875,0.0
JOINT_BREAK_RUN3_F12,landmark60_compatibility,03,A,46,0.1875,0.0625,-0.0625
JOINT_BREAK_RUN3_F12,landmark60_compatibility,03,A,47,0.125,0.0,0.0
JOINT_BREAK_RUN3_F12,landmark60_compatibility,03,A,48,0.0,0.125,0.125
JOINT_BREAK_RUN3_F12,landmark60_compatibility,03,A,49,0.3125,-0.25,-0.1875
JOINT_BREAK_RUN3_F12,landmark60_compatibility,03,A,50,0.0,-0.3125,0.125
JOINT_BREAK_RUN3_F12,landmark60_compatibility,03,A,51,0.125,-0.0625,0.125
JOINT_BREAK_RUN3_F12,landmark60_compatibility,03,A,52,0.0,-0.1875,0.0
JOINT_BREAK_RUN3_F12,landmark60_compatibility,03,A,53,0.1875,0.0,0.1875
JOINT_BREAK_RUN3_F12,landmark60_compatibility,03,A,54,0.0,-0.0625,-0.1875
JOINT_BREAK_RUN3_F12,landmark60_compatibility,03,A,55,-0.125,0.0625,0.0625
JOINT_BREAK_RUN3_F12,landmark60_compatibility,03,A,56,-0.0625,0.0,-0.0625
JOINT_BREAK_RUN3_F12,landmark60_compatibility,03,A,57,0.25,-0.125,-0.1875
JOINT_BREAK_RUN3_F12,landmark60_compatibility,03,A,58,0.0,0.125,0.0625
JOINT_BREAK_RUN3_F12,landmark60_compatibility,03,A,59,0.0,0.0,-0.125
JOINT_BREAK_RUN3_F12,landmark60_compatibility,03,A,60,0.0,-0.125,0.0
JOINT_BREAK_RUN3_F12,landmark60_compatibility,03,A,61,0.25,-0.0625,-0.25
JOINT_BREAK_RUN3_F12,landmark60_compatibility,03,A,62,0.5,0.0625,0.0625
JOINT_BREAK_RUN3_F12,landmark60_compatibility,03,A,63,0.4375,-0.1875,0.125
JOINT_BREAK_RUN3_F12,landmark60_compatibility,03,A,64,0.375,0.3125,0.375
JOINT_BREAK_RUN3_F12,landmark60_compatibility,03,A,65,0.0625,-0.125,0.0
JOINT_BREAK_RUN3_F12,landmark60_compatibility,03,A,66,0.0,0.0,0.0
JOINT_BREAK_RUN3_F12,landmark60_compatibility,03,A,67,0.0,0.0625,0.0625
JOINT_BREAK_RUN3_F12,landmark60_compatibility,03,A,68,-0.0625,0.0,0.0
JOINT_BREAK_RUN3_F12,landmark60_compatibility,03,A,69,0.0,-0.25,-0.25
JOINT_BREAK_RUN3_F12,landmark60_compatibility,03,A,70,0.0,-0.1875,-0.3125
JOINT_BREAK_RUN3_F12,landmark60_compatibility,03,A,71,0.0,0.0625,0.0
JOINT_BREAK_RUN3_F12,landmark60_compatibility,03,A,72,0.125,0.0625,0.0
JOINT_BREAK_RUN3_F12,landmark60_compatibility,03,A,73,0.0,-0.125,0.0
JOINT_BREAK_RUN3_F12,landmark60_compatibility,03,A,74,0.0,-0.0625,-0.0625
JOINT_BREAK_RUN3_F12,landmark60_compatibility,03,A,75,0.0,0.0625,-0.1875
JOINT_BREAK_RUN3_F12,landmark60_compatibility,03,A,76,0.4375,0.3125,-0.125
JOINT_BREAK_RUN3_F12,landmark60_compatibility,03,A,77,0.4375,-0.25,-0.125
JOINT_BREAK_RUN3_F12,landmark60_compatibility,03,A,78,0.0625,0.0,-0.0625
JOINT_BREAK_RUN3_F12,landmark60_compatibility,03,A,79,0.1875,0.1875,0.375
JOINT_BREAK_RUN3_F12,landmark60_compatibility,03,A,80,-0.25,0.0,-0.3125
JOINT_BREAK_RUN3_F12,landmark60_compatibility,03,A,81,0.0,0.0625,-0.0625
JOINT_BREAK_RUN3_F12,landmark60_compatibility,03,A,82,0.0625,-0.1875,-0.1875
JOINT_BREAK_RUN3_F12,landmark60_compatibility,03,A,83,0.25,-0.125,0.0
JOINT_BREAK_RUN3_F12,landmark60_compatibility,03,A,84,0.0,0.0,0.0
JOINT_BREAK_RUN3_F12,landmark60_compatibility,03,A,85,0.625,0.4375,0.0625
JOINT_BREAK_RUN3_F12,landmark60_compatibility,03,A,86,0.0,0.0625,0.0
JOINT_BREAK_RUN3_F12,landmark60_compatibility,03,A,87,0.0,0.125,0.125
JOINT_BREAK_RUN3_F12,landmark60_compatibility,03,A,88,0.4375,-0.1875,0.0
JOINT_BREAK_RUN3_F12,landmark60_compatibility,03,A,89,-0.0625,-0.0625,-0.0625
JOINT_BREAK_RUN3_F12,landmark60_compatibility,03,A,90,0.375,0.125,0.1875
JOINT_BREAK_RUN3_F12,landmark60_compatibility,03,A,91,0.1875,0.0625,0.1875
JOINT_BREAK_RUN3_F12,landmark60_compatibility,03,A,92,0.0,-0.25,-0.3125
JOINT_BREAK_RUN3_F12,landmark60_compatibility,03,A,93,-0.1875,-0.625,-0.25
JOINT_BREAK_RUN3_F12,landmark60_compatibility,03,A,94,0.25,-0.3125,-0.1875
JOINT_BREAK_RUN3_F12,landmark60_compatibility,03,A,95,-0.4375,0.0,-0.125
JOINT_BREAK_RUN3_F12,landmark60_compatibility,03,A,96,0.25,0.375,0.0625
JOINT_BREAK_RUN3_F12,landmark60_compatibility,03,A,97,0.0,0.0625,0.0
JOINT_BREAK_RUN3_F12,landmark60_compatibility,03,A,98,0.125,-0.125,-0.125
JOINT_BREAK_RUN3_F12,landmark60_compatibility,03,A,99,0.375,0.25,-0.0625
JOINT_BREAK_RUN3_F12,landmark60_compatibility,03,A,100,0.125,0.0,-0.1875
JOINT_BREAK_RUN3_F12,landmark60_compatibility,03,A,101,-0.3125,0.0625,0.125
JOINT_BREAK_RUN3_F12,landmark60_compatibility,03,A,102,0.3125,0.125,-0.1875
JOINT_BREAK_RUN3_F12,landmark60_compatibility,03,A,103,0.5,-0.125,-0.125
JOINT_BREAK_RUN3_F12,landmark60_compatibility,03,A,104,-0.0625,0.0,0.1875
JOINT_BREAK_RUN3_F12,landmark60_compatibility,03,A,105,0.4375,0.1875,-0.0625
JOINT_BREAK_RUN3_F12,landmark60_compatibility,03,A,106,0.25,0.0625,0.125
JOINT_BREAK_RUN3_F12,landmark60_compatibility,03,A,107,0.0625,-0.1875,-0.125
JOINT_BREAK_RUN3_F12,landmark60_compatibility,03,A,108,-0.125,-0.0625,0.0
JOINT_BREAK_RUN3_F12,landmark60_compatibility,03,A,109,-0.125,-0.125,-0.1875
JOINT_BREAK_RUN3_F12,landmark60_compatibility,03,A,110,-0.125,-0.0625,0.125
JOINT_BREAK_RUN3_F12,landmark60_compatibility,03,A,111,0.0,-0.0625,0.125
JOINT_BREAK_RUN3_F12,landmark60_compatibility,03,A,112,0.0625,0.0625,0.0
JOINT_BREAK_RUN3_F12,landmark60_compatibility,03,A,113,0.0625,0.25,0.125
JOINT_BREAK_RUN3_F12,landmark60_compatibility,03,A,114,0.125,-0.125,-0.125
JOINT_BREAK_RUN3_F12,landmark60_compatibility,03,A,115,0.25,0.0625,-0.25
JOINT_BREAK_RUN3_F12,landmark60_compatibility,03,A,116,0.0625,0.0625,0.0625
JOINT_BREAK_RUN3_F12,landmark60_compatibility,03,A,117,0.25,0.1875,0.125
JOINT_BREAK_RUN3_F12,landmark60_compatibility,03,A,118,-0.125,0.0625,0.0
JOINT_BREAK_RUN3_F12,landmark60_compatibility,03,A,119,0.5,0.0,-0.125
JOINT_BREAK_RUN3_F12,landmark60_compatibility,03,A,120,0.1875,-0.125,-0.1875
JOINT_BREAK_RUN3_F12,landmark60_compatibility,03,A,121,0.0625,0.0,-0.0625
JOINT_BREAK_RUN3_F12,landmark60_compatibility,03,A,122,0.0625,0.0,0.0625
JOINT_BREAK_RUN3_F12,landmark60_compatibility,03,A,123,0.1875,-0.0625,-0.125
JOINT_BREAK_RUN3_F12,landmark60_compatibility,03,A,124,0.0625,0.0625,0.0
JOINT_BREAK_RUN3_F12,landmark60_compatibility,03,A,125,0.0,0.0625,0.0
JOINT_BREAK_RUN3_F12,landmark60_compatibility,03,A,126,0.3125,0.0625,0.1875
JOINT_BREAK_RUN3_F12,landmark60_compatibility,03,A,127,0.1875,0.1875,0.125
JOINT_BREAK_RUN3_F12,landmark60_compatibility,03,A,128,0.3125,0.3125,-0.0625
JOINT_BREAK_RUN3_F12,landmark60_compatibility,03,A,129,-0.25,0.125,-0.125
JOINT_BREAK_RUN3_F12,landmark60_compatibility,03,A,130,0.125,-0.25,-0.1875
JOINT_BREAK_RUN3_F12,landmark60_compatibility,03,A,131,0.25,-0.125,-0.125
JOINT_BREAK_RUN3_F12,landmark60_compatibility,03,A,132,0.25,-0.0625,-0.125
JOINT_BREAK_RUN3_F12,landmark60_compatibility,03,A,133,0.4375,0.1875,-0.25
JOINT_BREAK_RUN3_F12,landmark60_compatibility,03,A,134,-0.25,-0.125,0.0
JOINT_BREAK_RUN3_F12,landmark60_compatibility,03,A,135,0.25,-0.125,-0.1875
JOINT_BREAK_RUN3_F12,landmark60_compatibility,03,A,136,0.6875,0.125,-0.375
JOINT_BREAK_RUN3_F12,landmark60_compatibility,03,A,137,0.125,0.125,0.0
JOINT_BREAK_RUN3_F12,landmark60_compatibility,03,A,138,0.1875,0.125,0.125
JOINT_BREAK_RUN3_F12,landmark60_compatibility,03,A,139,0.375,0.25,0.0625
JOINT_BREAK_RUN3_F12,landmark60_compatibility,03,A,140,0.3125,0.375,0.125
JOINT_BREAK_RUN3_F12,landmark60_compatibility,03,A,141,0.3125,0.0625,-0.125
JOINT_BREAK_RUN3_F12,landmark60_compatibility,03,A,142,0.3125,0.0625,0.0
JOINT_BREAK_RUN3_F12,landmark60_compatibility,03,A,143,-0.125,-0.0625,0.0
JOINT_BREAK_RUN3_F12,landmark60_compatibility,03,A,144,0.375,0.4375,0.375
JOINT_BREAK_RUN3_F12,landmark60_compatibility,03,A,145,0.0625,-0.0625,0.1875
JOINT_BREAK_RUN3_F12,landmark60_compatibility,03,A,146,0.625,0.375,-0.1875
JOINT_BREAK_RUN3_F12,landmark60_compatibility,03,A,147,0.125,-0.125,-0.125
JOINT_BREAK_RUN3_F12,landmark60_compatibility,03,A,148,0.125,-0.0625,-0.375
JOINT_BREAK_RUN3_F12,landmark60_compatibility,03,A,149,-0.25,0.0,-0.125
JOINT_BREAK_RUN3_F12,landmark60_compatibility,03,A,150,-0.125,-0.3125,-0.25
JOINT_BREAK_RUN3_F12,landmark60_compatibility,03,A,151,0.0,0.125,0.0
JOINT_BREAK_RUN3_F12,landmark60_compatibility,03,A,152,0.0,0.0,0.0
JOINT_BREAK_RUN3_F12,landmark60_compatibility,03,A,153,0.0,0.0,0.0
JOINT_BREAK_RUN3_F12,landmark60_compatibility,03,A,154,0.0,-0.1875,-0.3125
JOINT_BREAK_RUN3_F12,landmark60_compatibility,03,A,155,0.375,0.25,0.25
JOINT_BREAK_RUN3_F12,landmark60_compatibility,03,A,156,0.0,0.1875,0.0
JOINT_BREAK_RUN3_F12,landmark60_compatibility,03,A,157,0.25,0.0,-0.0625
JOINT_BREAK_RUN3_F12,landmark60_compatibility,03,A,158,0.125,-0.1875,-0.1875
JOINT_BREAK_RUN3_F12,landmark60_compatibility,03,A,159,-0.0625,-0.25,-0.1875
JOINT_BREAK_RUN3_F12,landmark60_compatibility,03,B,0,0.1875,0.125,0.25
JOINT_BREAK_RUN3_F12,landmark60_compatibility,03,B,1,0.25,-0.0625,0.0625
JOINT_BREAK_RUN3_F12,landmark60_compatibility,03,B,2,0.375,0.0625,0.125
JOINT_BREAK_RUN3_F12,landmark60_compatibility,03,B,3,-0.0625,-0.125,-0.0625
JOINT_BREAK_RUN3_F12,landmark60_compatibility,03,B,4,0.1875,-0.0625,0.0625
JOINT_BREAK_RUN3_F12,landmark60_compatibility,03,B,5,0.0,0.0,0.0
JOINT_BREAK_RUN3_F12,landmark60_compatibility,03,B,6,0.1875,0.25,0.0
JOINT_BREAK_RUN3_F12,landmark60_compatibility,03,B,7,-0.0625,0.0,-0.125
JOINT_BREAK_RUN3_F12,landmark60_compatibility,03,B,8,0.0,0.0625,0.0
JOINT_BREAK_RUN3_F12,landmark60_compatibility,03,B,9,-0.0625,-0.1875,-0.0625
JOINT_BREAK_RUN3_F12,landmark60_compatibility,03,B,10,-0.0625,0.0,0.0
JOINT_BREAK_RUN3_F12,landmark60_compatibility,03,B,11,0.25,-0.5625,-0.625
JOINT_BREAK_RUN3_F12,landmark60_compatibility,03,B,12,0.125,0.125,0.0
JOINT_BREAK_RUN3_F12,landmark60_compatibility,03,B,13,0.125,0.1875,0.125
JOINT_BREAK_RUN3_F12,landmark60_compatibility,03,B,14,0.0,-0.125,-0.125
JOINT_BREAK_RUN3_F12,landmark60_compatibility,03,B,15,0.0,0.125,0.0
JOINT_BREAK_RUN3_F12,landmark60_compatibility,03,B,16,0.0625,0.0,0.125
JOINT_BREAK_RUN3_F12,landmark60_compatibility,03,B,17,-0.125,-0.1875,0.0
JOINT_BREAK_RUN3_F12,landmark60_compatibility,03,B,18,0.0,0.1875,-0.1875
JOINT_BREAK_RUN3_F12,landmark60_compatibility,03,B,19,0.25,0.1875,0.0625
JOINT_BREAK_RUN3_F12,landmark60_compatibility,03,B,20,0.125,0.0625,0.0
JOINT_BREAK_RUN3_F12,landmark60_compatibility,03,B,21,0.3125,0.1875,0.25
JOINT_BREAK_RUN3_F12,landmark60_compatibility,03,B,22,0.1875,-0.125,0.25
JOINT_BREAK_RUN3_F12,landmark60_compatibility,03,B,23,0.125,0.25,0.25
JOINT_BREAK_RUN3_F12,landmark60_compatibility,03,B,24,0.0,0.0,0.0625
JOINT_BREAK_RUN3_F12,landmark60_compatibility,03,B,25,-0.1875,-0.1875,0.0625
JOINT_BREAK_RUN3_F12,landmark60_compatibility,03,B,26,0.0,0.0,0.0
JOINT_BREAK_RUN3_F12,landmark60_compatibility,03,B,27,0.0625,0.3125,0.0625
