death_count,donor_id,epsilon_multiplier,eta_multiplier,intervention,n,observer_success_counts,observer_success_rates,rule,substrate,success_count,success_rate
0,life-2060-4-4,0,2,structured_half,1,"{""components"": 0, ""primary"": 1, ""terminal2x2"": 0}","{""components"": 0.0, ""primary"": 1.0, ""terminal2x2"": 0.0}",2060,life,1,1.0
0,life-2060-4-4,1,2,structured_half,1,"{""components"": 0, ""primary"": 1, ""terminal2x2"": 0}","{""components"": 0.0, ""primary"": 1.0, ""terminal2x2"": 0.0}",2060,life,1,1.0
0,life-2060-4-4,2,2,structured_half,1,"{""components"": 0, ""primary"": 1, ""terminal2x2"": 0}","{""components"": 0.0, ""primary"": 1.0, ""terminal2x2"": 0.0}",2060,life,1,1.0
1,life-18444-6-6,0,0,intact,1,"{""components"": 0, ""primary"": 0, ""terminal2x2"": 0}","{""components"": 0.0, ""primary"": 0.0, ""terminal2x2"": 0.0}",18444,life,0,0.0
1,life-18444-6-6,1,0,intact,1,"{""components"": 0, ""primary"": 1, ""terminal2x2"": 0}","{""components"": 0.0, ""primary"": 1.0, ""terminal2x2"": 0.0}",18444,life,1,1.0
1,life-18444-6-6,2,0,intact,1,"{""components"": 0, ""primary"": 0, ""terminal2x2"": 0}","{""components"": 0.0, ""primary"": 0.0, ""terminal2x2"": 0.0}",18444,life,0,0.0
0,life-18444-6-6,0,1,intact,1,"{""components"": 0, ""primary"": 1, ""terminal2x2"": 0}","{""components"": 0.0, ""primary"": 1.0, ""terminal2x2"": 0.0}",18444,life,1,1.0
1,life-18444-6-6,1,1,intact,1,"{""components"": 0, ""primary"": 0, ""terminal2x2"": 0}","{""components"": 0.0, ""primary"": 0.0, ""terminal2x2"": 0.0}",18444,life,0,0.0
0,life-18444-6-6,2,1,intact,1,"{""components"": 0, ""primary"": 1, ""terminal2x2"": 0}","{""components"": 0.0, ""primary"": 1.0, ""terminal2x2"": 0.0}",18444,life,1,1.0
0,life-18444-6-6,0,2,intact,1,"{""components"": 0, ""primary"": 1, ""terminal2x2"": 0}","{""components"": 0.0, ""primary"": 1.0, ""terminal2x2"": 0.0}",18444,life,1,1.0
0,life-18444-6-6,1,2,intact,1,"{""components"": 0, ""primary"": 1, ""terminal2x2"": 0}","{""components"": 0.0, ""primary"": 1.0, ""terminal2x2"": 0.0}",18444,life,1,1.0
0,life-18444-6-6,2,2,intact,1,"{""components"": 0, ""primary"": 1, ""terminal2x2"": 0}","{""components"": 0.0, ""primary"": 1.0, ""terminal2x2"": 0.0}",18444,life,1,1.0
1,life-18444-6-6,0,0,structured_half,1,"{""components"": 0, ""primary"": 0, ""terminal2x2"": 0}","{""components"": 0.0, ""primary"": 0.0, ""terminal2x2"": 0.0}",18444,life,0,0.0
1,life-18444-6-6,1,0,structured_half,1,"{""components"": 0, ""primary"": 0, ""terminal2x2"": 0}","{""components"": 0.0, ""primary"": 0.0, ""terminal2x2"": 0.0}",18444,life,0,0.0
0,life-18444-6-6,2,0,structured_half,1,"{""components"": 0, ""primary"": 1, ""terminal2x2"": 0}","{""components"": 0.0, ""primary"": 1.0, ""terminal2x2"": 0.0}",18444,life,1,1.0
0,life-18444-6-6,0,1,structured_half,1,"{""components"": 0, ""primary"": 1, ""terminal2x2"": 0}","{""components"": 0.0, ""primary"": 1.0, ""terminal2x2"": 0.0}",18444,life,1,1.0
0,life-18444-6-6,1,1,structured_half,1,"{""components"": 0, ""primary"": 1, ""terminal2x2"": 0}","{""components"": 0.0, ""primary"": 1.0, ""terminal2x2"": 0.0}",18444,life,1,1.0
0,life-18444-6-6,2,1,structured_half,1,"{""components"": 0, ""primary"": 1, ""terminal2x2"": 0}","{""components"": 0.0, ""primary"": 1.0, ""terminal2x2"": 0.0}",18444,life,1,1.0
0,life-18444-6-6,0,2,structured_half,1,"{""components"": 0, ""primary"": 1, ""terminal2x2"": 0}","{""components"": 0.0, ""primary"": 1.0, ""terminal2x2"": 0.0}",18444,life,1,1.0
0,life-18444-6-6,1,2,structured_half,1,"{""components"": 0, ""primary"": 1, ""terminal2x2"": 0}","{""components"": 0.0, ""primary"": 1.0, ""terminal2x2"": 0.0}",18444,life,1,1.0
0,life-18444-6-6,2,2,structured_half,1,"{""components"": 0, ""primary"": 1, ""terminal2x2"": 0}","{""components"": 0.0, ""primary"": 1.0, ""terminal2x2"": 0.0}",18444,life,1,1.0
