substrate,rule,donor_id,donor_kind,intervention,eta_multiplier,epsilon_multiplier,death_count,success_count,success_rate,observer_success_counts,observer_success_rates,n
eca,90,eca-90-0-0,maintainer,structured_half,0,2,0,1,1.0,"{""multiscale"": 0, ""primary"": 1, ""raw4"": 0}","{""multiscale"": 0.0, ""primary"": 1.0, ""raw4"": 0.0}",1
eca,90,eca-90-0-0,maintainer,structured_half,1,0,0,1,1.0,"{""multiscale"": 0, ""primary"": 1, ""raw4"": 0}","{""multiscale"": 0.0, ""primary"": 1.0, ""raw4"": 0.0}",1
eca,90,eca-90-0-0,maintainer,structured_half,1,1,0,1,1.0,"{""multiscale"": 0, ""primary"": 1, ""raw4"": 0}","{""multiscale"": 0.0, ""primary"": 1.0, ""raw4"": 0.0}",1
eca,90,eca-90-0-0,maintainer,structured_half,1,2,0,1,1.0,"{""multiscale"": 0, ""primary"": 1, ""raw4"": 0}","{""multiscale"": 0.0, ""primary"": 1.0, ""raw4"": 0.0}",1
eca,90,eca-90-0-0,maintainer,structured_half,2,0,0,1,1.0,"{""multiscale"": 0, ""primary"": 1, ""raw4"": 0}","{""multiscale"": 0.0, ""primary"": 1.0, ""raw4"": 0.0}",1
eca,90,eca-90-0-0,maintainer,structured_half,2,1,0,1,1.0,"{""multiscale"": 0, ""primary"": 1, ""raw4"": 0}","{""multiscale"": 0.0, ""primary"": 1.0, ""raw4"": 0.0}",1
eca,90,eca-90-0-0,maintainer,structured_half,2,2,0,1,1.0,"{""multiscale"": 0, ""primary"": 1, ""raw4"": 0}","{""multiscale"": 0.0, ""primary"": 1.0, ""raw4"": 0.0}",1
life,2060,life-2060-4-4,maintainer,intact,0,0,0,1,1.0,"{""components"": 0, ""primary"": 1, ""terminal2x2"": 0}","{""components"": 0.0, ""primary"": 1.0, ""terminal2x2"": 0.0}",1
life,2060,life-2060-4-4,maintainer,intact,0,1,0,1,1.0,"{""components"": 0, ""primary"": 1, ""terminal2x2"": 0}","{""components"": 0.0, ""primary"": 1.0, ""terminal2x2"": 0.0}",1
life,2060,life-2060-4-4,maintainer,intact,0,2,0,1,1.0,"{""components"": 0, ""primary"": 1, ""terminal2x2"": 0}","{""components"": 0.0, ""primary"": 1.0, ""terminal2x2"": 0.0}",1
life,2060,life-2060-4-4,maintainer,intact,1,0,0,1,1.0,"{""components"": 0, ""primary"": 1, ""terminal2x2"": 0}","{""components"": 0.0, ""primary"": 1.0, ""terminal2x2"": 0.0}",1
life,2060,life-2060-4-4,maintainer,intact,1,1,0,1,1.0,"{""components"": 0, ""primary"": 1, ""terminal2x2"": 0}","{""components"": 0.0, ""primary"": 1.0, ""terminal2x2"": 0.0}",1
life,2060,life-2060-4-4,maintainer,intact,1,2,0,1,1.0,"{""components"": 0, ""primary"": 1, ""terminal2x2"": 0}","{""components"": 0.0, ""primary"": 1.0, ""terminal2x2"": 0.0}",1
life,2060,life-2060-4-4,maintainer,intact,2,0,0,1,1.0,"{""components"": 0, ""primary"": 1, ""terminal2x2"": 0}","{""components"": 0.0, ""primary"": 1.0, ""terminal2x2"": 0.0}",1
